,지역,연평균 미세먼지(PM-10),낮시간 소음도 ,국토면적,산림면적,임목축적,산림율,평균 임목축적,2019년 가로수 조성 현황(종),자치단체명,세입총계,해면기압 10년 평균(hPa),평균기온 10년 평균(℃),최고기온 10년 평균(℃),최저기온 10년 평균(℃),강수량 10년 평균(㎜),상대습도 10년 평균(%),일조시간 10년 평균(시간),나무종류,나무수량
85,세종특별자치시 왕벚나무,886891,64,46491,24849,3839903,53.45,154.53,왕벚나무,세종본청,2503293576000,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,왕벚나무,12862.0
86,세종특별자치시 은행나무,886891,64,46491,24849,3839903,53.45,154.53,왕벚나무,세종본청,2503293576000,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,은행나무,2708.0
87,세종특별자치시 메타세쿼이어,886891,64,46491,24849,3839903,53.45,154.53,왕벚나무,세종본청,2503293576000,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,메타세쿼이어,708.0
88,세종특별자치시 양버즘나무,886891,64,46491,24849,3839903,53.45,154.53,왕벚나무,세종본청,2503293576000,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,양버즘나무,954.0
89,세종특별자치시 단풍나무,886891,64,46491,24849,3839903,53.45,154.53,왕벚나무,세종본청,2503293576000,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,단풍나무,474.0
90,세종특별자치시 중국단풍,886891,64,46491,24849,3839903,53.45,154.53,왕벚나무,세종본청,2503293576000,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,중국단풍,399.0
91,세종특별자치시 백합나무,886891,64,46491,24849,3839903,53.45,154.53,왕벚나무,세종본청,2503293576000,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,백합나무,171.0
92,세종특별자치시 배롱나무,886891,64,46491,24849,3839903,53.45,154.53,왕벚나무,세종본청,2503293576000,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,배롱나무,425.0
93,세종특별자치시 이팝나무,886891,64,46491,24849,3839903,53.45,154.53,왕벚나무,세종본청,2503293576000,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,이팝나무,7388.0
94,세종특별자치시 곰솔,886891,64,46491,24849,3839903,53.45,154.53,왕벚나무,세종본청,2503293576000,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,곰솔,
95,세종특별자치시 무궁화,886891,64,46491,24849,3839903,53.45,154.53,왕벚나무,세종본청,2503293576000,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,무궁화,1010.0
96,경기도 벚나무,28075782,61,1019527,512105,81057717,50.23,158.28,은행나무,경기본청,38229645876000,1016.7,12.8,18.2,8.2,1294.1,69.4,2407.0,벚나무,83038.0
97,경기도 왕벚나무,28075782,61,1019527,512105,81057717,50.23,158.28,은행나무,경기본청,38229645876000,1016.7,12.8,18.2,8.2,1294.1,69.4,2407.0,왕벚나무,164406.0
98,경기도 은행나무,28075782,61,1019527,512105,81057717,50.23,158.28,은행나무,경기본청,38229645876000,1016.7,12.8,18.2,8.2,1294.1,69.4,2407.0,은행나무,195182.0
